OBNI ^^^ CHAOS BCN;0000000025928;15.00;0.00;0000000025928;23;LPs;NIKT;;;;;;8.55
OI POLLOI ^^^ S/T;0000000025935;15.00;2.00;0000000025935;23;LPs;NIKT;;;;;;6.77
PROSECUTION 99 ^^^ THE BRICKS THAT BUILT...;0000000025942;15.00;0.00;0000000025942;23;LPs;NIKT;;;;;;8.55
RED LIGHT ^^^ S/T;0000000025959;15.00;1.00;0000000025959;23;LPs;NIKT;;;;;;8.55
SAID AND DONE ^^^ S/T;0000000025966;15.00;1.00;0000000025966;23;LPs;NIKT;;;;;;8.55
V/A ^^^ SCAPEGOATS OMNIBUS;0000000025980;15.00;0.00;0000000025980;23;LPs;NIKT;Scapegoat Records;1998;WAR 011;Hardcore/Punk;;8.55
SHARPEVILLE / KIROUS ^^^ S/T;0000000025997;15.00;0.00;0000000025997;23;LPs;NIKT;;;;;;8.55
SILNA WOLA ^^^ ZERO AKCEPTACJI...;0000000026000;15.00;0.00;0000000026000;23;LPs;NIKT;;;;;;8.55
SOMETHING HAPPENING ^^^ Q;0000000026017;15.00;1.00;0000000026017;23;CD;NIKT;;;;;;6.77
SUFFER ^^^ S/T;0000000026024;15.00;1.00;0000000026024;23;LPs;NIKT;;;;;;8.55
SUFFER / URKO ^^^ S/T;0000000026031;15.00;1.00;0000000026031;23;LPs;NIKT;;;;;;8.55
V/A ^^^ KESKIDEEZ 1;0000000026048;15.00;1.00;0000000026048;23;LPs;NIKT;;;;;;8.55
ZYGOMATIC ZONE / PTIMITIV BUNKO ^^^ S/T;0000000026109;15.00;1.00;0000000026109;23;LPs;NIKT;;;;;;8.55
H 100'S ^^^ DISTORT CLEVELAND;0000000026123;15.00;0.00;0000000026123;23;LPs;NIKT;;;;;;8.55
JERKY TURKEY ^^^ ENOUGH !;0000000026147;15.00;1.00;0000000026147;23;LPs;NIKT;;;;;;8.55
KAPTEENI PERKELE ^^^ MINA KIROAN;0000000026178;15.00;0.00;0000000026178;23;LPs;NIKT;;;;;;8.55
KATASTROPHOBIA ^^^ S/T;0000000026185;15.00;0.00;0000000026185;23;LPs;NIKT;;;;;;8.55
KOSJER D ^^^ TRUE?;0000000026192;15.00;1.00;0000000026192;23;LPs;NIKT;;;;;;8.55
LAMENTO ^^^ DRUGS;0000000026208;15.00;1.00;0000000026208;23;LPs;NIKT;;;;;;8.55
LESSER OF TWO ^^^ MAN...KIND?;0000000026222;15.00;0.00;0000000026222;23;LPs;NIKT;;;;;;8.55
LESSER OF TWO ^^^ SWING;0000000026239;15.00;0.00;0000000026239;23;LPs;NIKT;;;;;;8.55
ŁYSINA LENINA / PUNISHMENT PARK ^^^ S/T;0000000026246;15.00;1.00;0000000026246;23;LPs;NIKT;;;;;;8.17
MEXICAN POWER AUTHORITY ^^^ S/T;0000000026253;15.00;0.00;0000000026253;23;LPs;NIKT;;;;;;8.55
MILITARY FLY ^^^ QUOD DICIS DOMINE?;0000000026260;15.00;0.00;0000000026260;23;LPs;NIKT;;;;;;7.60
MINUTE MANIFESTO / SHANK ^^^ S/T;0000000026277;15.00;0.00;0000000026277;23;LPs;NIKT;;;;;;8.55
MONUMENTS TO RUINS ^^^ S/T;0000000026284;15.00;1.00;0000000026284;23;LPs;NIKT;;;;;;8.55
M.F.R. / ONE WAY ^^^ S/T;0000000026291;15.00;1.00;0000000026291;23;LPs;NIKT;;;;;;8.55
MUSTA KASI ^^^ VANHOJEN SANOMALEHTIEN KATSAUS;0000000026307;15.00;1.00;0000000026307;23;LPs;NIKT;;;;;;8.55
ASMONIDAS LEICHENHAUS / CHOREA ^^^ S/T;0000000026321;15.00;1.00;0000000026321;23;LPs;NIKT;;;;;;8.55
CURLL ^^^ WOLLEN SOLDIER;0000000026338;15.00;1.00;0000000026338;23;LPs;NIKT;;;;;;6.77
DISTURBED / 36 CRAZY FIST ^^^ S/T;0000000026352;15.00;0.00;0000000026352;23;LPs;NIKT;;;;;;8.55
BOOT DOWN THE DOOR ^^^ S/T;0000000026369;15.00;1.00;0000000026369;23;LPs;NIKT;;;;;;8.55
